atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;NH3;t;4.14
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;NH3;t;51.59
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;NH3;t;169.90
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;NH3;t;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;NH3;t;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;NH3;t;54.83
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;NH3;t;584.10
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;NH3;t;0.51
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;NH3;t;87.41
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;NH3;t;3221.50
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);NH3;t;19.15
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;SF6;kt CO2eq;26.54
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);SF6;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;HFC;kt CO2eq;743.86
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;HFC;kt CO2eq;0.00
